garak LLM vulnerability scanner v0.14.1 ( https://github.com/NVIDIA/garak ) at 2026-04-23T01:16:28.909853
probes:
|                    encoding.InjectBase16                   |   ✅  | COMPETE_WITH_SOTA|              Probe for susceptibility to base16 encoded injections"             |
|                   encoding.InjectBase2048                  |   ✅  | COMPETE_WITH_SOTA|             Probe for susceptibility to Base2048 encoding injections            |
|                    encoding.InjectBase32                   |   ✅  | COMPETE_WITH_SOTA|              Probe for susceptibility to base32 encoded injections              |
|                    encoding.InjectBase64                   |   ✅  |    OF_CONCERN    |              Probe for susceptibility to base64 encoded injections              |
|                   encoding.InjectBraille                   |   ✅  | COMPETE_WITH_SOTA|    Probe for susceptibility to Braille encoding injections. Credit Wally#3422   |
|                    encoding.InjectEcoji                    |   ✅  | COMPETE_WITH_SOTA|                   Probe for susceptibility to Ecoji encoding.                   |
|                     encoding.InjectHex                     |   ✅  | COMPETE_WITH_SOTA|                Probe for susceptibility to hex encoded injections               |
|                     encoding.InjectLeet                    |   💤  | COMPETE_WITH_SOTA|                   Probe for susceptibility to 31337 encoding.                   |
|                     encoding.InjectMime                    |   💤  | COMPETE_WITH_SOTA|               Probe for susceptibility to MIME encoding injections              |
|                    encoding.InjectMorse                    |   ✅  | COMPETE_WITH_SOTA|          Probe for susceptibility to Morse encoding. Credit Wally#3422          |
|                     encoding.InjectNato                    |   ✅  | COMPETE_WITH_SOTA|           Probe for susceptibility to Nato phonetic alphabet encoding.          |
|                      encoding.InjectQP                     |   💤  |    OF_CONCERN    |                Probe for susceptibility to QP encoded injections                |
|                    encoding.InjectROT13                    |   ✅  | COMPETE_WITH_SOTA|              Probe for susceptibility to ROT13 encoding injections              |
|                  encoding.InjectSneakyBits                 |   💤  | COMPETE_WITH_SOTA|       Probe for susceptibility to unicode variant selector ASCII smuggling      |
|                      encoding.InjectUU                     |   ✅  |    OF_CONCERN    |                Probe for susceptibility to UU encoded injections                |
|               encoding.InjectUnicodeTagChars               |   ✅  |    OF_CONCERN    |             Probe for susceptibility to unicode tag ASCII smuggling             |
|           encoding.InjectUnicodeVariantSelectors           |   💤  | COMPETE_WITH_SOTA|       Probe for susceptibility to unicode variant selector ASCII smuggling      |
|                    encoding.InjectZalgo                    |   ✅  | COMPETE_WITH_SOTA|                   Probe for susceptibility to Zalgo encoding.                   |
|                        exploitation                        |   🌟  |                  |                                                                                 |
|          exploitation.JinjaTemplatePythonInjection         |   ✅  |    OF_CONCERN    |               Attempts to execute Python code via Jinja templating              |
|                exploitation.SQLInjectionEcho               |   ✅  |    OF_CONCERN    |               Attempts to get the target to echo a SQL statement.               |
|               exploitation.SQLInjectionSystem              |   💤  |    OF_CONCERN    |         Attempts to inject untrusted SQL commands into a SQL statement.         |
|                         fileformats                        |   🌟  |                  |                                                                                 |
|                    fileformats.HF_Files                    |   💤  |    OF_CONCERN    |         Get a manifest of files associated with a Hugging Face generator        |
|                            fitd                            |   🌟  |                  |                                                                                 |
|                          fitd.FITD                         |   💤  |   INFORMATIONAL  |                              Foot In The Door probe                             |
|                           glitch                           |   🌟  |                  |                                                                                 |
|                        glitch.Glitch                       |   💤  |   INFORMATIONAL  |           Probe model for glitch tokens that provoke unusual behavior           |
|                      glitch.GlitchFull                     |   💤  |   INFORMATIONAL  |           Probe model for glitch tokens that provoke unusual behavior           |
|                          goodside                          |   🌟  |                  |                                                                                 |
|                      goodside.Davidjl                      |   💤  |   INFORMATIONAL  |                        Exploit the ' davidjl' magic token                       |
|                        goodside.Tag                        |   ✅  |    OF_CONCERN    |        Exploit UTF tag page encoding for user-invisible prompt injection        |
|                    goodside.ThreatenJSON                   |   ✅  | COMPETE_WITH_SOTA|                     Will model strip preamble and give JSON?                    |
|                     goodside.WhoIsRiley                    |   ✅  | COMPETE_WITH_SOTA|                      Probe for misinfo about Riley Goodside                     |
|                           grandma                          |   🌟  |                  |                                                                                 |
|                        grandma.Slurs                       |   ✅  |    OF_CONCERN    |                   Use the grandma attack to get ethnic slurs.                   |
|                     grandma.Substances                     |   ✅  |    OF_CONCERN    |          Use the grandma attack to get instructions for harmful items.          |
|                        grandma.Win10                       |   ✅  | COMPETE_WITH_SOTA|          Will the model yield a Windows 10 product key if we beg it to?         |
|                        grandma.Win11                       |   ✅  | COMPETE_WITH_SOTA|          Will the model yield a Windows 11 product key if we beg it to?         |
|                       latentinjection                      |   🌟  |                  |                                                                                 |
|      latentinjection.LatentInjectionFactSnippetEiffel      |   ✅  |    OF_CONCERN    |    String-based latent prompt injections in fact snippets on the Eiffel Tower   |
|    latentinjection.LatentInjectionFactSnippetEiffelFull    |   💤  |    OF_CONCERN    |    String-based latent prompt injections in fact snippets on the Eiffel Tower   |
|       latentinjection.LatentInjectionFactSnippetLegal      |   ✅  |    OF_CONCERN    |             String-based latent prompt injections in legal snippets             |
|     latentinjection.LatentInjectionFactSnippetLegalFull    |   💤  |    OF_CONCERN    |             String-based latent prompt injections in legal snippets             |
|            latentinjection.LatentInjectionReport           |   ✅  |    OF_CONCERN    |                String-based latent prompt injections via a report               |
|          latentinjection.LatentInjectionReportFull         |   💤  |    OF_CONCERN    |                String-based latent prompt injections via a report               |
|            latentinjection.LatentInjectionResume           |   ✅  |    OF_CONCERN    |                String-based latent prompt injections via a resume               |
|          latentinjection.LatentInjectionResumeFull         |   💤  |    OF_CONCERN    |                String-based latent prompt injections via a resume               |
|       latentinjection.LatentInjectionTranslationEnFr       |   ✅  |    OF_CONCERN    |              String-based latent prompt injections via translation              |
|     latentinjection.LatentInjectionTranslationEnFrFull     |   💤  |    OF_CONCERN    |              String-based latent prompt injections via translation              |
|       latentinjection.LatentInjectionTranslationEnZh       |   ✅  |    OF_CONCERN    |                 Latent prompt injection in Chinese context (简体字)                |
|     latentinjection.LatentInjectionTranslationEnZhFull     |   💤  |    OF_CONCERN    |                 Latent prompt injection in Chinese context (简体字)                |
